सौ
हंड्रेड
हन्ड्रड
हंडरेड
थाउज़न्ड
हज़ार
थाउज़ेंड
हजार
थाउजेंड
थाउसेंड्स
लाख
लैक
लेक
लाक
करोड़
क्रोर
क्रोर्स
करोड
मिलियन
मिलियंस
बिलियन
बिलियंस
अरब
