നൂറ്
നൂറു
നൂറ്റി
ഞ്ഞൂറ്
ണ്ണൂറ്
ള്ളായിരം
ഞ്ഞൂറ്റി
ണ്ണൂറ്റി
ള്ളായിരത്തി
ഹണ്ട്രഡ്
ഹൺഡ്രഡ്
യിരം
യിരത്തി
തൗസൻഡ്
തൌസൻഡ്
ആയിരം
ആയിരത്തി
ആയിരത്തി
തൌസൻഡ്സ്
ലക്ഷം
ലക്ഷത്തി
ലാഖ്സ്
ലാഖ്
ലാഖ
ലാഖസ്
ലഖ്
ലക്ഷ്
കോടി
ക്രോര്സ്
കോടികൾ
ക്രോർസ്
മില്യൻ
മില്യൻസ്
ദശലക്ഷം
ബില്യൻ
ബില്ല്യൻസ്
ബില്യൺ
