डबल ए	AA
डबल बी	BB
डबल सी	CC
डबल डी	DD
डबल ई	EE
डबल एफ	FF
डबल जी	GG
डबल एच	HH
डबल आई	II
डबल जे	JJ
डबल के	KK
डबल एल	LL
डबल एम	MM
डबल एन	NN
डबल ओ	OO
डबल पी	PP
डबल क्यू	QQ
डबल आर	RR
डबल एस	SS
डबल टी	TT
डबल यू	UU
डबल वी	VV
डबल डब्ल्यू	WW
डबल एक्स	XX
डबल वाई	YY
डबल ज़ेड	ZZ
