शत
शतं
हंड्रेड
हन्ड्रड
सहस्रम्
शशत
सहस्र
थाउजेंड 
लक्षः
लैक
लेक
लक्ष
लॅक्स
लॅख
लॅखस
कोटी
कोटिरूप्यकाणि
क्रोर
