ਸੌ
ਹੰਡਰਡ
ਹੰਡਰੈਡ
ਹਜਾਰ
ਹਜ਼ਾਰ
ਥਾਊਸੈਂਡ
ਥੌਸੈਂਦ
ਥਾੌਸੈਂਡ
ਥਾਉਸੈਂਡ
ਥੌਸੈਂਡ
ਲੱਖ
ਲਖ
ਲੈਕਸ
ਲੈਕ
ਲਖ਼ਸ
ਕਰੋੜ
