ᱥᱟᱭ
ᱥᱳ
ᱦᱟᱡᱟᱨ
ᱞᱟᱠ
ᱞᱟᱠᱷ
ᱠᱟᱨᱚᱲ
ᱠᱚᱨᱚᱲ
