सौ
हंड्रेड
हन्ड्रड
हंडरेड
शेंबोर
शेंबर
शें
थाउज़न्ड
हज़ार
थाउज़ेंड
हजार
थाउजेंड
थाउसेंड्स
होजार
ओझर
लाख
लैक
लेक
लाक
लक
करोड़
क्रोर
क्रोर्स
करोड
कृत्त
कृत
