सौ
हंड्रेड
हन्ड्रड
हंडरेड
सय
सैकड़ा
थाउज़न्ड
हज़ार
थाउज़ेंड
हजार
थाउजेंड
थाउसेंड्स
हजारो
लाख
लैक
लेक
लाक
करोड़
क्रोर
क्रोर्स
करोड
करोड़क
