শো
শত
হানড্রেড
হন্ডরেড
হানড্রড
হান্ড্রেড
হাজার
থাউসেন্ড
থৌসান্ড
থৌস্যান্ড
থাউসান্ড
থাউজেন্ড
লাখ
ল্যাখ
কোটি
ক্রোর
