ನೂರು
ನೂರ
ನ್ನೂರು
ಹಂಡ್ರೆಡ್
ಸಾವಿರ
ಸಾವಿರದ
ಥೌಸಂಡ್
ಥೌಸೆಂಡ್
ತೌಸಂಡ್
ಥೌಸಂಡ್ಸ್
ಲಕ್ಷ
ಲಕ್ಷದ
ಲ್ಯಾಕ್ಸ್
ಲ್ಯಾಖ್
ಲ್ಯಾಕ್
ಲಾಕ್ಸ್
ಕೋಟಿ
ಕ್ರೋರ್ಸ್
ಮಿಲಿಯನ್
ಮಿಲಿಯನ್ಸ್
ದಶಲಕ್ಷ
ಬಿಲಿಯನ್
ಬಿಲಿಯನ್ಸ್
ಶತಕೋಟಿ
