వంద
వందలు
వందల
నూట
హండ్రెడ్
వెయ్యి
వేలు
వేల
వెయ్య
థౌసండ్
లక్ష
లక్షల
లక్షలు
ల్యాక్
ల్యాక్స్
కోటి
కోట్లు
కోట్ల
క్రోర్
క్రోర్స్
మిలియన్
మిలియన్లు
మిలియన్స్
బిలియన్
బిలియన్లు
బిలియన్స్
