सवा	1.25
सवा दो	2.25
सवा तीन	3.25
सवा चार	4.25
सवा पाँच	5.25
सवा छह	6.25
सवा सात	7.25
सवा आठ	8.25
सवा नौ	9.25
सवा दस	10.25
डेढ़	1.25
डेढ़	1.25
अढ़ाई	2.5
ढ़ाई	2.5
ढाई	2.5
साढ़े दो	2.5
साढ़े तीन	3.5
साढ़े चार	4.5
साढ़े पाँच	5.5
साढ़े छह	6.5
साढ़े सात	7.5
साढ़े आठ	8.5
साढ़े नौ	9.5
साढ़े दस	10.5
