सौ
हंड्रेड
हन्ड्रड
हंडरेड
सय
सयौं
सयौँ
थाउज़न्ड
हज़ार
थाउज़ेंड
हजार
थाउजेंड
थाउसेंड्स
हजारौं
हजारौँ
थाउजेन्ड्स
लाख
लैक
लेक
लाक
लक
लाखौँ
करोड़
क्रोर
क्रोर्स
करोड
कृत्त
कृत
करोडौं
