સો
સ્સો
હન્ડ્રેડ
હુંદ્રેડ
હંડ્રેડ
હુંડ્રેડ
સૌ
થાઉઝન્ડ
હજાર
થૌસંદ
થૌઝન્ડ
થાૌઝન્ડ
થૌસન્ડ
થાઉસેન્ડ
થાઉઝન્ડ્સ
હજારો
લાખ
લાખસ
કરોડ઼
કરોડ
ક્રોર્સ
મિલિયન
મિલિયન્સ
બિલિયન
બિલિયન્સ
અબજો
અબજ
