हंड्रेड
हन्ड्रेड
हन्ड्रड
नॉट
नोट
सेजौ
थाउज़ेंड
थाउजेंड
थाउज़न्ड
थाउज़ेन्ड
थाउसेन्ड
रोजा
लाख
लैक
लेक
कौटि
क्रोर
