शंभर
शे
हंड्रेड
हन्ड्रड
थाउज़न्ड
हज़ार
थाउज़ेंड
हजार
थाउजेंड
थाउजंड
थाउसंड
लाख
लैक
लेक
लक्ष
लॅक्स
लॅख
लॅखस
कोटी
क्रोर
क्रोर्स
मिलियन
मिलियंस
मिलियन्स
बिलियन
बिलियंस
बिलियन्स
