ꯆꯥ ꯑꯃ
ꯑꯃ
ꯍꯟꯗ꯭ꯔꯦꯗ
ꯍꯟꯗ꯭ꯔꯦꯗꯁ
ꯑꯍꯨꯝ꯫
ꯂꯤꯁꯤꯡ ꯑꯃ
ꯊꯧꯁꯥꯟꯗ
ꯊꯧꯁꯥꯟꯗꯁ
ꯂꯤꯁꯤꯡ
ꯂꯤꯆꯥ
ꯂꯥꯈ
ꯂꯥꯛꯁ
ꯀ꯭ꯔꯣꯔ
ꯀ꯭ꯔꯣꯔꯁ
ꯀ ꯭ꯔꯣꯔ
