یِہ	A
بِہ	B
ک	C
د	D
ٲ	E
ف	F
گ	G
ہیچ	H
أے	I
جٲے	J
کِہ	K
ل	L
م	M
یٔنۍ	N
او	O
پی	P
ک	Q
آر	R
یٔسۍ	S
تِہ	T
یوٗ	U
وِہ	V
ڈبلیو	W
ایکس	X
یِہ	Y
زد	Z
