ଶହେ
ଶହ
ହଣ୍ଡ୍ରେଡ
ହଣ୍ଡ୍ରେଡ୍
ହଣ୍ଟ୍ରେଡ୍
ହଜାର
ଥାଉଜେଣ୍ଡ
ଲକ୍ଷ
ଲକ୍ଷେ
ଲାଖ୍‌
ଲ୍ୟାକ୍
ଲ୍ୟାକ୍ସ
ଲାଖ
କୋଟି
କ୍ରୋର
